NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACACB	2402	2.8617982864379883	-0.14684552	No	
row_1	CHD9	3056	2.145017623901367	-0.18031192	No	
row_2	NFYA	3174	2.0370914936065674	-0.17850448	No	
row_3	TBL1X	4463	1.2357810735702515	-0.25865665	No	
row_4	TBL1XR1	4699	1.1081724166870117	-0.2691129	No	
row_5	CARM1	5861	0.5532143712043762	-0.34400937	No	
row_6	MED1	5970	0.5071749687194824	-0.34882477	No	
row_7	CREBBP	6527	0.31101441383361816	-0.3844749	No	
row_8	MTF1	7084	0.1539885550737381	-0.42086646	No	
row_9	HELZ2	8015	-0.04947470501065254	-0.48271978	No	
row_10	NCOA2	8141	-0.08134617656469345	-0.49068072	No	
row_11	TGS1	8536	-0.17366904020309448	-0.5161642	No	
row_12	NCOA1	8832	-0.25562337040901184	-0.5346515	No	
row_13	NFYB	9121	-0.3477582633495331	-0.55223644	No	
row_14	NCOA6	9606	-0.5108618140220642	-0.5821362	No	
row_15	SMARCD3	10038	-0.6832466721534729	-0.60768384	No	
row_16	GGPS1	11020	-1.205171823501587	-0.6674852	No	
row_17	PPARA	12062	-2.0404012203216553	-0.72734845	No	
row_18	SP1	12467	-2.465426445007324	-0.74267876	No	
row_19	CYP51A1	12729	-2.7548115253448486	-0.74709594	No	
row_20	ELOVL6	13575	-4.117615222930908	-0.78406644	Yes	
row_21	NFYC	13770	-4.615236759185791	-0.77522653	Yes	
row_22	SQLE	14192	-6.0361127853393555	-0.7748323	Yes	
row_23	GPAM	14244	-6.203793048858643	-0.7489451	Yes	
row_24	PMVK	14264	-6.301179885864258	-0.7204617	Yes	
row_25	IDI1	14336	-6.645501136779785	-0.6938242	Yes	
row_26	SC5D	14448	-7.235832691192627	-0.6670697	Yes	
row_27	MVK	14529	-7.833005905151367	-0.63542604	Yes	
row_28	ACACA	14577	-8.23214340209961	-0.59969467	Yes	
row_29	RXRA	14662	-8.905935287475586	-0.5632521	Yes	
row_30	FDFT1	14692	-9.177732467651367	-0.52185434	Yes	
row_31	MVD	14738	-9.863643646240234	-0.47828615	Yes	
row_32	TM7SF2	14743	-9.9484281539917	-0.43158048	Yes	
row_33	SREBF2	14798	-10.781954765319824	-0.38427722	Yes	
row_34	SCD	14812	-11.033191680908203	-0.33305055	Yes	
row_35	FASN	14861	-11.848770141601562	-0.28030965	Yes	
row_36	DHCR7	14896	-12.600273132324219	-0.22308576	Yes	
row_37	HMGCS1	14928	-13.76278018951416	-0.1601727	Yes	
row_38	FDPS	14970	-16.130998611450195	-0.08674539	Yes	
row_39	LSS	15005	-19.036470413208008	8.6777256E-4	Yes	
