NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL15A1	5	21.658788681030273	0.07659277	Yes	
row_1	COL18A1	20	17.692855834960938	0.13849819	Yes	
row_2	COL1A1	83	12.880568504333496	0.18010443	Yes	
row_3	COL1A2	102	12.5150785446167	0.22335236	Yes	
row_4	COL3A1	116	12.256574630737305	0.2660162	Yes	
row_5	COL6A3	122	12.138919830322266	0.30879667	Yes	
row_6	COL5A2	146	11.45862102508545	0.34795824	Yes	
row_7	COL9A2	164	11.002937316894531	0.38590223	Yes	
row_8	COL7A1	169	10.936502456665039	0.4244788	Yes	
row_9	COL8A1	208	10.228041648864746	0.45826745	Yes	
row_10	COL5A1	247	9.711356163024902	0.49022093	Yes	
row_11	COL4A5	370	8.46294116973877	0.512128	Yes	
row_12	LOX	432	8.005111694335938	0.53648466	Yes	
row_13	COL6A2	485	7.7055487632751465	0.5603786	Yes	
row_14	COL24A1	515	7.580175399780273	0.585364	Yes	
row_15	COL6A1	538	7.472241401672363	0.6104337	Yes	
row_16	LOXL2	608	7.103192329406738	0.6310524	Yes	
row_17	LOXL1	616	7.077785491943359	0.6557233	Yes	
row_18	ITGB4	809	6.19215726852417	0.66488814	Yes	
row_19	COL10A1	877	5.963314056396484	0.68159187	Yes	
row_20	BMP1	991	5.591848850250244	0.69390285	Yes	
row_21	COL9A3	1083	5.291440486907959	0.70661676	Yes	
row_22	MMP13	1188	4.969930171966553	0.71732014	Yes	
row_23	MMP3	1277	4.770314693450928	0.72838354	Yes	
row_24	MMP7	1285	4.74891471862793	0.74478287	Yes	
row_25	CTSV	1333	4.604135036468506	0.75799537	Yes	
row_26	COL27A1	1703	3.8523991107940674	0.74702394	Yes	
row_27	COL4A1	1833	3.625730037689209	0.7512827	Yes	
row_28	PLEC	2198	3.0863289833068848	0.73792446	Yes	
row_29	PCOLCE	2312	2.965083360671997	0.74090576	Yes	
row_30	COL8A2	2344	2.924711227416992	0.7492224	Yes	
row_31	COL11A2	2363	2.9044010639190674	0.75833553	Yes	
row_32	PXDN	2411	2.8431084156036377	0.7652933	Yes	
row_33	COL4A2	3042	2.1698989868164062	0.7309077	No	
row_34	COL11A1	3515	1.7777329683303833	0.70568573	No	
row_35	LOXL4	3838	1.5711866617202759	0.6897522	No	
row_36	ITGA6	4371	1.2823282480239868	0.65876186	No	
row_37	MMP9	4713	1.0998263359069824	0.6398847	No	
row_38	LOXL3	5117	0.8891637325286865	0.61611694	No	
row_39	CTSL	5754	0.5923488736152649	0.5757273	No	
row_40	CTSB	6283	0.39478689432144165	0.5418519	No	
row_41	TLL1	6379	0.3633262515068054	0.536795	No	
row_42	COL5A3	6960	0.18377411365509033	0.49869585	No	
row_43	LAMC2	7143	0.13862350583076477	0.48702812	No	
row_44	LAMB3	7792	-0.004118338692933321	0.4437475	No	
row_45	COL6A6	8069	-0.06234285607933998	0.42552835	No	
row_46	COL6A5	8701	-0.2186683565378189	0.3841456	No	
row_47	CTSS	9288	-0.39880281686782837	0.34640923	No	
row_48	COL4A4	11739	-1.748273491859436	0.18892524	No	
row_49	CD151	11844	-1.8288710117340088	0.18847232	No	
row_50	COL4A3	13071	-3.231618881225586	0.11803672	No	
row_51	LAMA3	13171	-3.373755693435669	0.12340494	No	
