NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL18A1	20	17.692855834960938	0.05364172	Yes	
row_1	MDK	67	13.709704399108887	0.09316759	Yes	
row_2	THBS2	73	13.514458656311035	0.1348283	Yes	
row_3	COL1A1	83	12.880568504333496	0.17425178	Yes	
row_4	COL1A2	102	12.5150785446167	0.21193773	Yes	
row_5	ITGA7	106	12.485543251037598	0.25053492	Yes	
row_6	COL3A1	116	12.256574630737305	0.2880194	Yes	
row_7	COL6A3	122	12.138919830322266	0.32540572	Yes	
row_8	FBN1	123	12.09029483795166	0.3629753	Yes	
row_9	COL5A2	146	11.45862102508545	0.39711094	Yes	
row_10	COL7A1	169	10.936502456665039	0.4296241	Yes	
row_11	ITGAV	176	10.693682670593262	0.46245265	Yes	
row_12	TNC	179	10.65851879119873	0.49543935	Yes	
row_13	ITGA9	246	9.721830368041992	0.5212359	Yes	
row_14	COL5A1	247	9.711356163024902	0.5514131	Yes	
row_15	ITGA2	261	9.565716743469238	0.5802685	Yes	
row_16	FN1	353	8.575549125671387	0.6008314	Yes	
row_17	COL4A5	370	8.46294116973877	0.6260594	Yes	
row_18	COL6A2	485	7.7055487632751465	0.6423809	Yes	
row_19	COL6A1	538	7.472241401672363	0.66212314	Yes	
row_20	VCAM1	644	6.955808162689209	0.6767167	Yes	
row_21	ITGA11	670	6.836380481719971	0.69628847	Yes	
row_22	TGFBI	779	6.3267388343811035	0.7087266	Yes	
row_23	COL4A6	1223	4.897554397583008	0.6943231	No	
row_24	SPP1	1345	4.578334808349609	0.700459	No	
row_25	ITGB1	1503	4.247236251831055	0.7031588	No	
row_26	LAMA1	1711	3.8397481441497803	0.70124894	No	
row_27	COL4A1	1833	3.625730037689209	0.7044247	No	
row_28	ITGA8	2178	3.1119863986968994	0.69109255	No	
row_29	COL11A2	2363	2.9044010639190674	0.6878142	No	
row_30	THBS1	2433	2.812100887298584	0.6919387	No	
row_31	PLAU	2647	2.5697503089904785	0.6856812	No	
row_32	ITGA5	2760	2.4528071880340576	0.685814	No	
row_33	ITGA4	3442	1.8352781534194946	0.64598036	No	
row_34	COL11A1	3515	1.7777329683303833	0.6466901	No	
row_35	VTN	3617	1.7111238241195679	0.64525366	No	
row_36	LAMA2	3643	1.6918989419937134	0.6488394	No	
row_37	LAMB1	4048	1.4554660320281982	0.6263478	No	
row_38	NID1	4070	1.44102144241333	0.6294214	No	
row_39	CSPG4	4237	1.344658613204956	0.6224999	No	
row_40	ITGA6	4371	1.2823282480239868	0.61759126	No	
row_41	LAMB2	4986	0.9520637392997742	0.5794932	No	
row_42	F13A1	5266	0.8266301155090332	0.56340593	No	
row_43	LAMA4	5467	0.7257037162780762	0.5522875	No	
row_44	PLAUR	5683	0.6283977627754211	0.53986377	No	
row_45	ITGA1	5734	0.6034095883369446	0.53839546	No	
row_46	TGM2	5877	0.5476997494697571	0.5306022	No	
row_47	LAMC1	6394	0.35856056213378906	0.49721292	No	
row_48	JAM2	6410	0.354998379945755	0.49731302	No	
row_49	LAMC2	7143	0.13862350583076477	0.44879696	No	
row_50	LAMB3	7792	-0.004118338692933321	0.40547976	No	
row_51	CD81	8734	-0.22754546999931335	0.34326476	No	
row_52	ITGA10	9039	-0.32310548424720764	0.3239411	No	
row_53	LAMA5	9081	-0.3362516760826111	0.32224444	No	
row_54	VEGFA	9386	-0.42831265926361084	0.30324775	No	
row_55	NPNT	9696	-0.5434262156486511	0.2842744	No	
row_56	COL4A4	11739	-1.748273491859436	0.15316406	No	
row_57	CD14	12356	-2.355268716812134	0.119292624	No	
row_58	IGSF8	12408	-2.4077959060668945	0.12336442	No	
row_59	FGG	12475	-2.4779105186462402	0.12665108	No	
row_60	COL4A3	13071	-3.231618881225586	0.09690704	No	
row_61	LAMA3	13171	-3.373755693435669	0.100770846	No	
row_62	ITGA3	13247	-3.5146477222442627	0.10667727	No	
row_63	FGA	13392	-3.7580554485321045	0.10872623	No	
