NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LBR	9128	-0.3489185869693756	-0.60720867	No	
row_1	PLPP6	10782	-1.0607730150222778	-0.7126854	No	
row_2	GGPS1	11020	-1.205171823501587	-0.7230754	No	
row_3	CYP51A1	12729	-2.7548115253448486	-0.82460684	No	
row_4	ARV1	13541	-4.050713539123535	-0.8604902	No	
row_5	HSD17B7	13974	-5.2736406326293945	-0.8656007	Yes	
row_6	SQLE	14192	-6.0361127853393555	-0.8529454	Yes	
row_7	PMVK	14264	-6.301179885864258	-0.82936156	Yes	
row_8	IDI1	14336	-6.645501136779785	-0.8042303	Yes	
row_9	DHCR24	14414	-7.026464939117432	-0.777787	Yes	
row_10	SC5D	14448	-7.235832691192627	-0.7474683	Yes	
row_11	MVK	14529	-7.833005905151367	-0.7176003	Yes	
row_12	FDFT1	14692	-9.177732467651367	-0.68715763	Yes	
row_13	SREBF1	14722	-9.579038619995117	-0.64604115	Yes	
row_14	MVD	14738	-9.863643646240234	-0.6027119	Yes	
row_15	NSDHL	14739	-9.877304077148438	-0.5583209	Yes	
row_16	TM7SF2	14743	-9.9484281539917	-0.5138103	Yes	
row_17	MSMO1	14750	-10.03913402557373	-0.46909213	Yes	
row_18	SREBF2	14798	-10.781954765319824	-0.42376995	Yes	
row_19	DHCR7	14896	-12.600273132324219	-0.3736105	Yes	
row_20	EBP	14909	-12.900599479675293	-0.31643236	Yes	
row_21	HMGCS1	14928	-13.76278018951416	-0.2557795	Yes	
row_22	FDPS	14970	-16.130998611450195	-0.18601726	Yes	
row_23	LSS	15005	-19.036470413208008	-0.10273025	Yes	
row_24	ACAT2	15012	-23.036239624023438	4.0011082E-4	Yes	
