NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CES1	6714	0.25316521525382996	-0.44668666	No	
row_1	LBR	9128	-0.3489185869693756	-0.60602075	No	
row_2	PLPP6	10782	-1.0607730150222778	-0.71133393	No	
row_3	CYP51A1	12729	-2.7548115253448486	-0.8282824	No	
row_4	ACLY	12781	-2.8303170204162598	-0.8184692	No	
row_5	INSIG2	13446	-3.8695387840270996	-0.84469485	Yes	
row_6	ARV1	13541	-4.050713539123535	-0.8320517	Yes	
row_7	HSD17B7	13974	-5.2736406326293945	-0.8362454	Yes	
row_8	ACAA2	14143	-5.839179515838623	-0.82018787	Yes	
row_9	INSIG1	14158	-5.883266448974609	-0.7936517	Yes	
row_10	SQLE	14192	-6.0361127853393555	-0.76766926	Yes	
row_11	PMVK	14264	-6.301179885864258	-0.74298406	Yes	
row_12	IDI1	14336	-6.645501136779785	-0.71669114	Yes	
row_13	DHCR24	14414	-7.026464939117432	-0.6890197	Yes	
row_14	SC5D	14448	-7.235832691192627	-0.65743554	Yes	
row_15	MVK	14529	-7.833005905151367	-0.6261983	Yes	
row_16	G6PD	14566	-8.168265342712402	-0.59046054	Yes	
row_17	FDFT1	14692	-9.177732467651367	-0.5559463	Yes	
row_18	HMGCR	14709	-9.421936988830566	-0.5130208	Yes	
row_19	MVD	14738	-9.863643646240234	-0.4688334	Yes	
row_20	NSDHL	14739	-9.877304077148438	-0.4227144	Yes	
row_21	TM7SF2	14743	-9.9484281539917	-0.37646344	Yes	
row_22	MSMO1	14750	-10.03913402557373	-0.32998908	Yes	
row_23	DHCR7	14896	-12.600273132324219	-0.2808285	Yes	
row_24	EBP	14909	-12.900599479675293	-0.22139364	Yes	
row_25	HMGCS1	14928	-13.76278018951416	-0.15833336	Yes	
row_26	FDPS	14970	-16.130998611450195	-0.08574966	Yes	
row_27	LSS	15005	-19.036470413208008	8.671804E-4	Yes	
