NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMO	28	16.576459884643555	0.03762822	Yes	
row_1	KIF7	56	14.028725624084473	0.069251046	Yes	
row_2	TUB	238	9.853039741516113	0.080568045	Yes	
row_3	ADCY6	320	8.933891296386719	0.096416906	Yes	
row_4	BBS9	324	8.849820137023926	0.11730908	Yes	
row_5	WDPCP	331	8.78411865234375	0.13784297	Yes	
row_6	TCTN3	333	8.77802562713623	0.15869847	Yes	
row_7	EVC	399	8.242593765258789	0.17397523	Yes	
row_8	NEK1	448	7.9248151779174805	0.18963742	Yes	
row_9	CNGA1	500	7.648087501525879	0.20443833	Yes	
row_10	CPLANE1	545	7.4426469802856445	0.21922015	Yes	
row_11	PKD1	660	6.904164791107178	0.2280126	Yes	
row_12	TRIM32	680	6.785079479217529	0.24290776	Yes	
row_13	RAB23	742	6.490222454071045	0.2542766	Yes	
row_14	GPR161	748	6.466955184936523	0.26935467	Yes	
row_15	TCTN1	770	6.3544135093688965	0.28308886	Yes	
row_16	BBS7	906	5.8666791915893555	0.28799668	Yes	
row_17	CEP164	949	5.704539775848389	0.29877013	Yes	
row_18	TTC8	1035	5.410736083984375	0.30595252	Yes	
row_19	RPGRIP1L	1168	5.024009704589844	0.30905345	Yes	
row_20	IFT52	1194	4.958775997161865	0.3191922	Yes	
row_21	TBC1D32	1214	4.909783363342285	0.32961753	Yes	
row_22	BBS5	1307	4.674734115600586	0.33457506	Yes	
row_23	EVC2	1309	4.667068004608154	0.34563196	Yes	
row_24	WDR35	1338	4.5925445556640625	0.35469607	Yes	
row_25	CCDC28B	1396	4.4478373527526855	0.36146572	Yes	
row_26	CEP290	1430	4.372636795043945	0.36966956	Yes	
row_27	CCDC40	1452	4.338346004486084	0.3785984	Yes	
row_28	KATNIP	1477	4.290858745574951	0.38721237	Yes	
row_29	IFT43	1484	4.278939247131348	0.397008	Yes	
row_30	DNAAF2	1500	4.250668048858643	0.4061312	Yes	
row_31	CC2D2A	1509	4.232459545135498	0.41568163	Yes	
row_32	IFT81	1533	4.184338092803955	0.42410892	Yes	
row_33	TTLL5	1566	4.1152873039245605	0.43176657	Yes	
row_34	PIBF1	1651	3.9344778060913086	0.4354975	Yes	
row_35	ZNF423	1662	3.9055161476135254	0.44413415	Yes	
row_36	IFT27	1731	3.793518543243408	0.4486047	Yes	
row_37	INTU	1734	3.7899436950683594	0.4575037	Yes	
row_38	NEK9	1745	3.7765657901763916	0.46583304	Yes	
row_39	CENPF	1765	3.733678102493286	0.47345507	Yes	
row_40	KIAA0753	1776	3.7172021865844727	0.48164287	Yes	
row_41	KIZ	1784	3.704353094100952	0.49000174	Yes	
row_42	TMEM67	1857	3.5798518657684326	0.4936941	Yes	
row_43	DYNC2LI1	1877	3.5573549270629883	0.50089586	Yes	
row_44	BBS2	2023	3.3194339275360107	0.49905998	Yes	
row_45	ALMS1	2039	3.3031561374664307	0.50592476	Yes	
row_46	EFHC1	2042	3.298609495162964	0.5136526	Yes	
row_47	TMEM231	2051	3.283869504928589	0.52094203	Yes	
