NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL15A1	5	21.658788681030273	0.075760484	Yes	
row_1	COL14A1	7	20.909740447998047	0.14915639	Yes	
row_2	COL18A1	20	17.692855834960938	0.21051592	Yes	
row_3	COL1A1	83	12.880568504333496	0.2516301	Yes	
row_4	COL16A1	100	12.523862838745117	0.29456225	Yes	
row_5	COL1A2	102	12.5150785446167	0.33846498	Yes	
row_6	COL3A1	116	12.256574630737305	0.38065833	Yes	
row_7	COL6A3	122	12.138919830322266	0.42297247	Yes	
row_8	COL5A2	146	11.45862102508545	0.46169472	Yes	
row_9	COL9A2	164	11.002937316894531	0.4992166	Yes	
row_10	COL7A1	169	10.936502456665039	0.53737295	Yes	
row_11	COL8A1	208	10.228041648864746	0.5707703	Yes	
row_12	COL5A1	247	9.711356163024902	0.6023524	Yes	
row_13	COL12A1	341	8.702390670776367	0.6267176	Yes	
row_14	COL4A5	370	8.46294116973877	0.65458125	Yes	
row_15	COL6A2	485	7.7055487632751465	0.67404217	Yes	
row_16	COL24A1	515	7.580175399780273	0.69873756	Yes	
row_17	COL6A1	538	7.472241401672363	0.7235212	Yes	
row_18	COL25A1	672	6.830703258514404	0.7386399	Yes	
row_19	COL22A1	810	6.189895153045654	0.75124025	Yes	
row_20	COL10A1	877	5.963314056396484	0.76778483	Yes	
row_21	COL19A1	907	5.864482402801514	0.7864525	Yes	
row_22	COL9A3	1083	5.291440486907959	0.7933592	Yes	
row_23	COL4A6	1223	4.897554397583008	0.8012856	Yes	
row_24	COL17A1	1435	4.367058277130127	0.8025412	Yes	
row_25	COL23A1	1684	3.87538743019104	0.79959905	Yes	
row_26	COL27A1	1703	3.8523991107940674	0.811932	Yes	
row_27	COL4A1	1833	3.625730037689209	0.81605774	Yes	
row_28	COL8A2	2344	2.924711227416992	0.79228324	No	
row_29	COL11A2	2363	2.9044010639190674	0.8012856	No	
row_30	COL4A2	3042	2.1698989868164062	0.7636428	No	
row_31	COL21A1	3404	1.8589121103286743	0.7460717	No	
row_32	COL11A1	3515	1.7777329683303833	0.74497336	No	
row_33	COL28A1	5259	0.8298212289810181	0.6315181	No	
row_34	COL5A3	6960	0.18377411365509033	0.51866394	No	
row_35	COL13A1	7434	0.07018493115901947	0.48733088	No	
row_36	COL26A1	7493	0.055439986288547516	0.48365334	No	
row_37	COL6A6	8069	-0.06234285607933998	0.44548273	No	
row_38	COL6A5	8701	-0.2186683565378189	0.40412253	No	
row_39	COL4A4	11739	-1.748273491859436	0.20750071	No	
row_40	COL4A3	13071	-3.231618881225586	0.12999077	No	
