NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL15A1	5	21.658788681030273	0.05049769	Yes	
row_1	COL14A1	7	20.909740447998047	0.09950521	Yes	
row_2	COL18A1	20	17.692855834960938	0.14022629	Yes	
row_3	COL1A1	83	12.880568504333496	0.16630523	Yes	
row_4	COL16A1	100	12.523862838745117	0.19462703	Yes	
row_5	COL1A2	102	12.5150785446167	0.22393255	Yes	
row_6	COL3A1	116	12.256574630737305	0.2518279	Yes	
row_7	COL6A3	122	12.138919830322266	0.27998275	Yes	
row_8	COL5A2	146	11.45862102508545	0.30533576	Yes	
row_9	COL9A2	164	11.002937316894531	0.33002102	Yes	
row_10	COL7A1	169	10.936502456665039	0.35542083	Yes	
row_11	COL8A1	208	10.228041648864746	0.37688133	Yes	
row_12	ADAMTS14	209	10.209527969360352	0.40084276	Yes	
row_13	COL5A1	247	9.711356163024902	0.4211576	Yes	
row_14	COL12A1	341	8.702390670776367	0.43535486	Yes	
row_15	COL4A5	370	8.46294116973877	0.45334232	Yes	
row_16	P3H3	385	8.358541488647461	0.47202215	Yes	
row_17	LOX	432	8.005111694335938	0.48772985	Yes	
row_18	COL6A2	485	7.7055487632751465	0.50233275	Yes	
row_19	P4HA3	497	7.652492523193359	0.5195564	Yes	
row_20	COL24A1	515	7.580175399780273	0.53620857	Yes	
row_21	COL6A1	538	7.472241401672363	0.5522726	Yes	
row_22	LOXL2	608	7.103192329406738	0.56432354	Yes	
row_23	LOXL1	616	7.077785491943359	0.5804662	Yes	
row_24	COL25A1	672	6.830703258514404	0.592815	Yes	
row_25	ITGB4	809	6.19215726852417	0.5982417	Yes	
row_26	COL22A1	810	6.189895153045654	0.6127691	Yes	
row_27	COL10A1	877	5.963314056396484	0.6223457	Yes	
row_28	COL19A1	907	5.864482402801514	0.63416773	Yes	
row_29	BMP1	991	5.591848850250244	0.6417342	Yes	
row_30	COL9A3	1083	5.291440486907959	0.64805996	Yes	
row_31	MMP13	1188	4.969930171966553	0.6527607	Yes	
row_32	COL4A6	1223	4.897554397583008	0.6619786	Yes	
row_33	PLOD2	1233	4.867430686950684	0.67279965	Yes	
row_34	MMP3	1277	4.770314693450928	0.6811163	Yes	
row_35	MMP7	1285	4.74891471862793	0.69179314	Yes	
row_36	CTSV	1333	4.604135036468506	0.6994519	Yes	
row_37	COL17A1	1435	4.367058277130127	0.7029386	Yes	
row_38	ADAMTS3	1458	4.322180271148682	0.7116096	Yes	
row_39	COL23A1	1684	3.87538743019104	0.7056397	Yes	
row_40	COL27A1	1703	3.8523991107940674	0.71347594	Yes	
row_41	COL4A1	1833	3.625730037689209	0.71334803	Yes	
row_42	P4HA2	1894	3.506633996963501	0.7175605	Yes	
row_43	P4HA1	2190	3.0936734676361084	0.70506907	Yes	
row_44	PLEC	2198	3.0863289833068848	0.71184385	Yes	
row_45	PCOLCE	2312	2.965083360671997	0.7112367	Yes	
row_46	COL8A2	2344	2.924711227416992	0.71602523	Yes	
row_47	COL11A2	2363	2.9044010639190674	0.72163653	Yes	
row_48	PXDN	2411	2.8431084156036377	0.72516227	Yes	
row_49	ADAMTS2	2911	2.314502239227295	0.6971829	No	
row_50	P3H1	2935	2.2833847999572754	0.7010019	No	
row_51	COL4A2	3042	2.1698989868164062	0.69899714	No	
row_52	COL21A1	3404	1.8589121103286743	0.67918855	No	
row_53	COL11A1	3515	1.7777329683303833	0.6759956	No	
row_54	LOXL4	3838	1.5711866617202759	0.658123	No	
row_55	SERPINH1	4328	1.3069452047348022	0.6284485	No	
row_56	ITGA6	4371	1.2823282480239868	0.6286459	No	
row_57	MMP9	4713	1.0998263359069824	0.60839486	No	
row_58	LOXL3	5117	0.8891637325286865	0.5834981	No	
row_59	COL28A1	5259	0.8298212289810181	0.57600474	No	
row_60	CTSL	5754	0.5923488736152649	0.5443183	No	
row_61	CTSB	6283	0.39478689432144165	0.5098917	No	
row_62	TLL1	6379	0.3633262515068054	0.5043835	No	
row_63	PLOD1	6520	0.31441253423690796	0.49574748	No	
row_64	COLGALT2	6552	0.303029328584671	0.494383	No	
row_65	COL5A3	6960	0.18377411365509033	0.46756288	No	
row_66	LAMC2	7143	0.13862350583076477	0.4557021	No	
row_67	COL13A1	7434	0.07018493115901947	0.43644935	No	
row_68	CRTAP	7457	0.06295686960220337	0.43512404	No	
row_69	COL26A1	7493	0.055439986288547516	0.43291068	No	
row_70	LAMB3	7792	-0.004118338692933321	0.4129672	No	
row_71	COL6A6	8069	-0.06234285607933998	0.39463344	No	
row_72	PPIB	8182	-0.09092063456773758	0.38734767	No	
row_73	COL6A5	8701	-0.2186683565378189	0.35317725	No	
row_74	CTSS	9288	-0.39880281686782837	0.31487656	No	
row_75	PLOD3	10108	-0.7119316458702087	0.2617098	No	
row_76	COLGALT1	10987	-1.1833604574203491	0.20569903	No	
row_77	PCOLCE2	11277	-1.3757120370864868	0.18957725	No	
row_78	P4HB	11482	-1.5194733142852783	0.17948422	No	
row_79	COL4A4	11739	-1.748273491859436	0.16644642	No	
row_80	CD151	11844	-1.8288710117340088	0.16377522	No	
row_81	COL4A3	13071	-3.231618881225586	0.089270666	No	
row_82	LAMA3	13171	-3.373755693435669	0.09056004	No	
row_83	P3H2	14935	-14.078839302062988	0.005557757	No	
