NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASPN	15	18.605363845825195	0.07387229	Yes	
row_1	TGFB3	25	17.253843307495117	0.1427064	Yes	
row_2	ITGA7	106	12.485543251037598	0.18760875	Yes	
row_3	LUM	149	11.363015174865723	0.23053192	Yes	
row_4	COL9A2	164	11.002937316894531	0.27387628	Yes	
row_5	ITGAV	176	10.693682670593262	0.3161765	Yes	
row_6	TNC	179	10.65851879119873	0.35893637	Yes	
row_7	NCAM1	183	10.586682319641113	0.40134034	Yes	
row_8	ITGA9	246	9.721830368041992	0.43632293	Yes	
row_9	COMP	257	9.620141983032227	0.47436965	Yes	
row_10	ITGA2	261	9.565716743469238	0.5126649	Yes	
row_11	HSPG2	379	8.396878242492676	0.53864163	Yes	
row_12	TNXB	586	7.266025543212891	0.5541226	Yes	
row_13	ITGB5	590	7.231847763061523	0.58302563	Yes	
row_14	TNN	625	7.035772800445557	0.60906893	Yes	
row_15	ACAN	690	6.746753692626953	0.6319452	Yes	
row_16	SPARC	712	6.643681526184082	0.6572789	Yes	
row_17	DCN	843	6.08057165145874	0.67306566	Yes	
row_18	SERPINE1	856	6.023460865020752	0.69650453	Yes	
row_19	COL9A3	1083	5.291440486907959	0.70270324	Yes	
row_20	VCAN	1177	5.001574993133545	0.71661925	Yes	
row_21	ITGB3	1343	4.583795547485352	0.7240447	Yes	
row_22	ITGB1	1503	4.247236251831055	0.73051643	Yes	
row_23	FMOD	1605	4.029194355010986	0.73998487	Yes	
row_24	LAMA1	1711	3.8397481441497803	0.74842376	Yes	
row_25	ITGA8	2178	3.1119863986968994	0.7298206	No	
row_26	AGRN	2776	2.4412734508514404	0.699768	No	
row_27	BGN	3091	2.1100387573242188	0.6872856	No	
row_28	VTN	3617	1.7111238241195679	0.659104	No	
row_29	LAMA2	3643	1.6918989419937134	0.66424286	No	
row_30	HAPLN1	3847	1.5678024291992188	0.6569927	No	
row_31	LAMB1	4048	1.4554660320281982	0.6494908	No	
row_32	PTPRS	4623	1.1538487672805786	0.61579347	No	
row_33	LAMB2	4986	0.9520637392997742	0.5954448	No	
row_34	TGFB2	5118	0.8886725306510925	0.5902709	No	
row_35	LAMA4	5467	0.7257037162780762	0.5699464	No	
row_36	TNR	5945	0.5174102187156677	0.54016703	No	
row_37	LAMC1	6394	0.35856056213378906	0.5116855	No	
row_38	MUSK	6401	0.35655835270881653	0.51271963	No	
row_39	TGFB1	6907	0.19765499234199524	0.47978318	No	
row_40	DAG1	7149	0.13674376904964447	0.46423566	No	
row_41	LRP4	7665	0.019835373386740685	0.42991567	No	
row_42	LAMA5	9081	-0.3362516760826111	0.33675277	No	
row_43	ITGB6	10429	-0.8637273907661438	0.25025475	No	
row_44	ITGAX	10446	-0.873237669467926	0.2527002	No	
row_45	MATN3	11794	-1.7834924459457397	0.16990364	No	
row_46	LAMA3	13171	-3.373755693435669	0.09156974	No	
row_47	ITGA2B	14536	-7.885843276977539	0.032195535	No	
