NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTBP1	1	26.424230575561523	0.12840612	Yes	
row_1	TGFB3	25	17.253843307495117	0.21075791	Yes	
row_2	FBLN2	52	14.616923332214355	0.2800889	Yes	
row_3	LTBP3	104	12.500582695007324	0.33746162	Yes	
row_4	FBN1	123	12.09029483795166	0.3950423	Yes	
row_5	MFAP2	142	11.519777297973633	0.4498492	Yes	
row_6	ITGAV	176	10.693682670593262	0.49963838	Yes	
row_7	LOX	432	8.005111694335938	0.5215371	Yes	
row_8	FBLN1	472	7.785803318023682	0.5567879	Yes	
row_9	ITGB8	561	7.3765363693237305	0.58677804	Yes	
row_10	ITGB5	590	7.231847763061523	0.6200698	Yes	
row_11	LOXL2	608	7.103192329406738	0.6534703	Yes	
row_12	LOXL1	616	7.077785491943359	0.68741477	Yes	
row_13	MFAP4	914	5.848116874694824	0.6960228	Yes	
row_14	ELN	967	5.66278600692749	0.72008383	Yes	
row_15	BMP7	1202	4.9367265701293945	0.7284661	Yes	
row_16	ITGB3	1343	4.583795547485352	0.74140704	Yes	
row_17	ITGB1	1503	4.247236251831055	0.7514434	Yes	
row_18	EFEMP2	1666	3.900568962097168	0.75959396	Yes	
row_19	ITGA8	2178	3.1119863986968994	0.74061435	No	
row_20	BMP4	2260	3.0179855823516846	0.7498808	No	
row_21	FBN2	2379	2.8802361488342285	0.7560077	No	
row_22	ITGA5	2760	2.4528071880340576	0.7425676	No	
row_23	VTN	3617	1.7111238241195679	0.6937479	No	
row_24	MFAP5	3810	1.5864025354385376	0.68864465	No	
row_25	LOXL4	3838	1.5711866617202759	0.6944814	No	
row_26	MFAP3	4102	1.424919605255127	0.6838537	No	
row_27	LOXL3	5117	0.8891637325286865	0.62049097	No	
row_28	TGFB2	5118	0.8886725306510925	0.62481165	No	
row_29	EFEMP1	5491	0.7160394191741943	0.60346156	No	
row_30	LTBP4	5809	0.5740323662757874	0.5850923	No	
row_31	TGFB1	6907	0.19765499234199524	0.5128272	No	
row_32	BMP2	8454	-0.15289737284183502	0.41037318	No	
row_33	GDF5	8999	-0.31061461567878723	0.3755707	No	
row_34	FBLN5	9147	-0.35293087363243103	0.36747423	No	
row_35	ITGB6	10429	-0.8637273907661438	0.2861653	No	
row_36	FURIN	12021	-2.004513740539551	0.1897099	No	
row_37	FBN3	12123	-2.1137123107910156	0.19324477	No	
