NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTBP1	1	26.424230575561523	0.021369612	Yes	
row_1	COL15A1	5	21.658788681030273	0.038737398	Yes	
row_2	COL14A1	7	20.909740447998047	0.05563321	Yes	
row_3	ASPN	15	18.605363845825195	0.07025239	Yes	
row_4	COL18A1	20	17.692855834960938	0.084334835	Yes	
row_5	TGFB3	25	17.253843307495117	0.098061115	Yes	
row_6	CTSK	27	16.77345848083496	0.11160124	Yes	
row_7	MMP2	30	16.069778442382812	0.12450263	Yes	
row_8	FBLN2	52	14.616923332214355	0.13493608	Yes	
row_9	COL1A1	83	12.880568504333496	0.14335014	Yes	
row_10	COL16A1	100	12.523862838745117	0.1524248	Yes	
row_11	COL1A2	102	12.5150785446167	0.16251019	Yes	
row_12	SH3PXD2A	103	12.50677490234375	0.1726567	Yes	
row_13	LTBP3	104	12.500582695007324	0.18279818	Yes	
row_14	ITGA7	106	12.485543251037598	0.1928596	Yes	
row_15	COL3A1	116	12.256574630737305	0.20219241	Yes	
row_16	SSPN	117	12.255511283874512	0.21213508	Yes	
row_17	COL6A3	122	12.138919830322266	0.22171172	Yes	
row_18	FBN1	123	12.09029483795166	0.23152034	Yes	
row_19	MMP16	135	11.593297004699707	0.24017935	Yes	
row_20	HTRA1	140	11.52607536315918	0.2492588	Yes	
row_21	MFAP2	142	11.519777297973633	0.25853673	Yes	
row_22	COL5A2	146	11.45862102508545	0.2676293	Yes	
row_23	LUM	149	11.363015174865723	0.27671218	Yes	
row_24	CAPN5	152	11.263620376586914	0.28571442	Yes	
row_25	COL9A2	164	11.002937316894531	0.29389447	Yes	
row_26	COL7A1	169	10.936502456665039	0.30249563	Yes	
row_27	ITGAV	176	10.693682670593262	0.31076407	Yes	
row_28	TNC	179	10.65851879119873	0.3192754	Yes	
row_29	NCAM1	183	10.586682319641113	0.3276606	Yes	
row_30	COL8A1	208	10.228041648864746	0.33432987	Yes	
row_31	ADAMTS14	209	10.209527969360352	0.34261265	Yes	
row_32	ITGA9	246	9.721830368041992	0.34805697	Yes	
row_33	COL5A1	247	9.711356163024902	0.3559356	Yes	
row_34	COMP	257	9.620141983032227	0.36312953	Yes	
row_35	ITGA2	261	9.565716743469238	0.37068644	Yes	
row_36	ACTN1	296	9.255956649780273	0.3758885	Yes	
row_37	COL12A1	341	8.702390670776367	0.3799629	Yes	
row_38	MMP19	343	8.680251121520996	0.38693717	Yes	
row_39	FN1	353	8.575549125671387	0.39328364	Yes	
row_40	CAPN6	367	8.474026679992676	0.39927632	Yes	
row_41	COL4A5	370	8.46294116973877	0.40600643	Yes	
row_42	HSPG2	379	8.396878242492676	0.4122758	Yes	
row_43	P3H3	385	8.358541488647461	0.41871762	Yes	
row_44	DMD	427	8.034989356994629	0.42245415	Yes	
row_45	LOX	432	8.005111694335938	0.4286771	Yes	
row_46	FBLN1	472	7.785803318023682	0.43234718	Yes	
