NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTBP1	1	26.424230575561523	0.17171034	Yes	
row_1	TGFB3	25	17.253843307495117	0.28233892	Yes	
row_2	FBLN2	52	14.616923332214355	0.37562546	Yes	
row_3	LTBP3	104	12.500582695007324	0.45348668	Yes	
row_4	MFAP2	142	11.519777297973633	0.5259058	Yes	
row_5	ITGAV	176	10.693682670593262	0.5932214	Yes	
row_6	FBLN1	472	7.785803318023682	0.6241578	Yes	
row_7	ITGB8	561	7.3765363693237305	0.66624093	Yes	
row_8	ITGB5	590	7.231847763061523	0.7113856	Yes	
row_9	MFAP4	914	5.848116874694824	0.7278578	Yes	
row_10	BMP7	1202	4.9367265701293945	0.7408067	Yes	
row_11	ITGB3	1343	4.583795547485352	0.7612664	Yes	
row_12	ITGB1	1503	4.247236251831055	0.77827096	Yes	
row_13	EFEMP2	1666	3.900568962097168	0.79282176	Yes	
row_14	ITGA8	2178	3.1119863986968994	0.77896714	Yes	
row_15	BMP4	2260	3.0179855823516846	0.7931834	Yes	
row_16	VTN	3617	1.7111238241195679	0.7138587	No	
row_17	MFAP5	3810	1.5864025354385376	0.7113647	No	
row_18	MFAP3	4102	1.424919605255127	0.70121735	No	
row_19	TGFB2	5118	0.8886725306510925	0.63929164	No	
row_20	EFEMP1	5491	0.7160394191741943	0.6191332	No	
row_21	LTBP4	5809	0.5740323662757874	0.6017202	No	
row_22	TGFB1	6907	0.19765499234199524	0.5298327	No	
row_23	BMP2	8454	-0.15289737284183502	0.42770502	No	
row_24	GDF5	8999	-0.31061461567878723	0.39343822	No	
row_25	FBLN5	9147	-0.35293087363243103	0.38592732	No	
row_26	ITGB6	10429	-0.8637273907661438	0.3060966	No	
