NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIPA	6564	0.2993430495262146	-0.4359971	No	
row_1	SOAT1	8430	-0.14722278714179993	-0.55952996	No	
row_2	GGPS1	11020	-1.205171823501587	-0.7254647	No	
row_3	CYP51A1	12729	-2.7548115253448486	-0.82405823	No	
row_4	HSD17B7	13974	-5.2736406326293945	-0.8777357	Yes	
row_5	SQLE	14192	-6.0361127853393555	-0.8587058	Yes	
row_6	PMVK	14264	-6.301179885864258	-0.8284703	Yes	
row_7	IDI1	14336	-6.645501136779785	-0.7963239	Yes	
row_8	DHCR24	14414	-7.026464939117432	-0.76246333	Yes	
row_9	SC5D	14448	-7.235832691192627	-0.7245071	Yes	
row_10	MVK	14529	-7.833005905151367	-0.6863705	Yes	
row_11	FDFT1	14692	-9.177732467651367	-0.64623857	Yes	
row_12	HMGCR	14709	-9.421936988830566	-0.59501666	Yes	
row_13	MVD	14738	-9.863643646240234	-0.5421436	Yes	
row_14	NSDHL	14739	-9.877304077148438	-0.48732778	Yes	
row_15	TM7SF2	14743	-9.9484281539917	-0.4323173	Yes	
row_16	MSMO1	14750	-10.03913402557373	-0.3770034	Yes	
row_17	EBP	14909	-12.900599479675293	-0.31594405	Yes	
row_18	FDPS	14970	-16.130998611450195	-0.2304228	Yes	
row_19	LSS	15005	-19.036470413208008	-0.12704358	Yes	
row_20	ACAT2	15012	-23.036239624023438	3.9997575E-4	Yes	
