NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL18A1	20	17.692855834960938	0.07309226	Yes	
row_1	MDK	67	13.709704399108887	0.12769198	Yes	
row_2	THBS2	73	13.514458656311035	0.184209	Yes	
row_3	COL1A1	83	12.880568504333496	0.23779227	Yes	
row_4	COL1A2	102	12.5150785446167	0.28923687	Yes	
row_5	ITGA7	106	12.485543251037598	0.34155917	Yes	
row_6	COL3A1	116	12.256574630737305	0.39251748	Yes	
row_7	FBN1	123	12.09029483795166	0.4429767	Yes	
row_8	COL5A2	146	11.45862102508545	0.48970994	Yes	
row_9	ITGAV	176	10.693682670593262	0.53275776	Yes	
row_10	TNC	179	10.65851879119873	0.5774611	Yes	
row_11	ITGA2	261	9.565716743469238	0.61229056	Yes	
row_12	COL4A5	370	8.46294116973877	0.6406775	Yes	
row_13	COL6A1	538	7.472241401672363	0.66095597	Yes	
row_14	VCAM1	644	6.955808162689209	0.6832032	Yes	
row_15	TGFBI	779	6.3267388343811035	0.7008672	Yes	
row_16	COL4A6	1223	4.897554397583008	0.69187903	Yes	
row_17	SPP1	1345	4.578334808349609	0.70305634	Yes	
row_18	ITGB1	1503	4.247236251831055	0.71043617	Yes	
row_19	LAMA1	1711	3.8397481441497803	0.71276206	Yes	
row_20	COL4A1	1833	3.625730037689209	0.719932	Yes	
row_21	COL11A2	2363	2.9044010639190674	0.69681495	No	
row_22	THBS1	2433	2.812100887298584	0.70403564	No	
row_23	ITGA4	3442	1.8352781534194946	0.64442587	No	
row_24	VTN	3617	1.7111238241195679	0.64000154	No	
row_25	LAMB1	4048	1.4554660320281982	0.617402	No	
row_26	NID1	4070	1.44102144241333	0.62206125	No	
row_27	CSPG4	4237	1.344658613204956	0.61662966	No	
row_28	ITGA6	4371	1.2823282480239868	0.61314017	No	
row_29	LAMB2	4986	0.9520637392997742	0.5761326	No	
row_30	F13A1	5266	0.8266301155090332	0.56097394	No	
row_31	LAMA4	5467	0.7257037162780762	0.5506676	No	
row_32	PLAUR	5683	0.6283977627754211	0.5389499	No	
row_33	ITGA1	5734	0.6034095883369446	0.5381485	No	
row_34	LAMC1	6394	0.35856056213378906	0.4956384	No	
row_35	JAM2	6410	0.354998379945755	0.49612984	No	
row_36	LAMC2	7143	0.13862350583076477	0.44781846	No	
row_37	LAMB3	7792	-0.004118338692933321	0.4045521	No	
row_38	CD81	8734	-0.22754546999931335	0.34265444	No	
row_39	LAMA5	9081	-0.3362516760826111	0.3209576	No	
row_40	VEGFA	9386	-0.42831265926361084	0.30245346	No	
row_41	NPNT	9696	-0.5434262156486511	0.28409955	No	
row_42	COL4A4	11739	-1.748273491859436	0.15505695	No	
row_43	CD14	12356	-2.355268716812134	0.12381859	No	
row_44	IGSF8	12408	-2.4077959060668945	0.13054083	No	
row_45	COL4A3	13071	-3.231618881225586	0.09991639	No	
row_46	LAMA3	13171	-3.373755693435669	0.10749591	No	
row_47	FGA	13392	-3.7580554485321045	0.10860977	No	
