NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL14A1	7	20.909740447998047	0.10698114	Yes	
row_1	COL1A1	83	12.880568504333496	0.16816483	Yes	
row_2	COL16A1	100	12.523862838745117	0.23145306	Yes	
row_3	COL1A2	102	12.5150785446167	0.2956972	Yes	
row_4	COL3A1	116	12.256574630737305	0.35781214	Yes	
row_5	COL5A2	146	11.45862102508545	0.41475886	Yes	
row_6	COL9A2	164	11.002937316894531	0.4701648	Yes	
row_7	COL8A1	208	10.228041648864746	0.51985365	Yes	
row_8	COL12A1	341	8.702390670776367	0.55576295	Yes	
row_9	COL4A5	370	8.46294116973877	0.5973826	Yes	
row_10	COL6A1	538	7.472241401672363	0.62463474	Yes	
row_11	CASK	620	7.068667411804199	0.65555257	Yes	
row_12	COL10A1	877	5.963314056396484	0.6691112	Yes	
row_13	HGF	1027	5.459347248077393	0.68722105	Yes	
row_14	COL9A3	1083	5.291440486907959	0.71074146	Yes	
row_15	COL4A6	1223	4.897554397583008	0.7266318	Yes	
row_16	MMP7	1285	4.74891471862793	0.7469639	Yes	
row_17	COL17A1	1435	4.367058277130127	0.75946087	Yes	
row_18	COL4A1	1833	3.625730037689209	0.7515974	No	
row_19	COL8A2	2344	2.924711227416992	0.7325902	No	
row_20	COL11A2	2363	2.9044010639190674	0.7463137	No	
row_21	CCL5	3035	2.1780807971954346	0.71272504	No	
row_22	MMP9	4713	1.0998263359069824	0.6064573	No	
row_23	TGFB1	6907	0.19765499234199524	0.46111688	No	
row_24	MET	7304	0.10073616355657578	0.43520632	No	
row_25	COL13A1	7434	0.07018493115901947	0.42695782	No	
row_26	PPIB	8182	-0.09092063456773758	0.37757185	No	
row_27	SDC1	8480	-0.15874677896499634	0.35856643	No	
row_28	SDCBP	8739	-0.2285279780626297	0.3425224	No	
row_29	LAMA5	9081	-0.3362516760826111	0.32149267	No	
row_30	MAPK1	9283	-0.39678364992141724	0.3101173	No	
row_31	COL4A4	11739	-1.748273491859436	0.15525968	No	
row_32	HPSE	12897	-3.008211135864258	0.0935022	No	
row_33	COL4A3	13071	-3.231618881225586	0.098562784	No	
row_34	MAPK3	14212	-6.092794418334961	0.053790506	No	
