NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	Details ...	21	-0.9241231	-2.3987746	0.0	0.0	0.0	1046	tags=90%, list=7%, signal=97%	
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME DATABASE ID RELEASE 95%2426168	ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME DATABASE ID RELEASE 95%2426168	Details ...	40	-0.8035083	-2.3858724	0.0	0.0	0.0	1445	tags=50%, list=10%, signal=55%	
CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388	CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388	Details ...	21	-0.9070026	-2.3844929	0.0	0.0	0.0	1046	tags=81%, list=7%, signal=87%	
SIMVASTATIN ACTION PATHWAY%PATHWHIZ%PW000127	SIMVASTATIN ACTION PATHWAY%PATHWHIZ%PW000127	Details ...	21	-0.9070026	-2.3747368	0.0	0.0	0.0	1046	tags=81%, list=7%, signal=87%	
ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137	ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137	Details ...	21	-0.9070026	-2.3747067	0.0	0.0	0.0	1046	tags=81%, list=7%, signal=87%	
SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653	SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653	Details ...	28	-0.86276245	-2.3708973	0.0	0.0	0.0	1574	tags=82%, list=10%, signal=92%	
CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 95%191273	CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 95%191273	Details ...	25	-0.8893017	-2.366448	0.0	0.0	0.0	1046	tags=80%, list=7%, signal=86%	
LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099	LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099	Details ...	21	-0.9070026	-2.365122	0.0	0.0	0.0	1046	tags=81%, list=7%, signal=87%	
ZOLEDRONATE ACTION PATHWAY%PATHWHIZ%PW000270	ZOLEDRONATE ACTION PATHWAY%PATHWHIZ%PW000270	Details ...	21	-0.9070026	-2.3649974	0.0	0.0	0.0	1046	tags=81%, list=7%, signal=87%	
STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126	STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126	Details ...	31	-0.8410041	-2.3628602	0.0	0.0	0.0	1574	tags=74%, list=10%, signal=83%	
