NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	157	0.7354546	2.6812856	0.0	0.0	0.0	1711	tags=51%, list=11%, signal=57%	
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.5	EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.5	Details ...	282	0.64732325	2.548056	0.0	0.0	0.0	1711	tags=39%, list=11%, signal=44%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	178	0.6604967	2.4764965	0.0	0.0	0.0	1703	tags=47%, list=11%, signal=53%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	179	0.66029143	2.4640837	0.0	0.0	0.0	1703	tags=47%, list=11%, signal=52%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	179	0.6571591	2.46357	0.0	0.0	0.0	1703	tags=47%, list=11%, signal=52%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.5	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.5	Details ...	84	0.72516227	2.4386706	0.0	0.0	0.0	2411	tags=58%, list=16%, signal=69%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 95%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 95%8948216	Details ...	41	0.81605774	2.4037824	0.0	0.0	0.0	1833	tags=68%, list=12%, signal=78%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.6	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.6	Details ...	63	0.7389926	2.3716817	0.0	0.0	0.0	2363	tags=62%, list=16%, signal=73%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.5	Details ...	52	0.7652933	2.3555465	0.0	0.0	0.0	2411	tags=63%, list=16%, signal=75%	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	Details ...	50	0.738057	2.2921665	0.0	0.0	0.0	2477	tags=56%, list=16%, signal=67%	
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 95%1474228	DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 95%1474228	Details ...	98	0.66045624	2.2863872	0.0	0.0	0.0	1684	tags=41%, list=11%, signal=46%	
ECM PROTEOGLYCANS%REACTOME DATABASE ID RELEASE 95%3000178	ECM PROTEOGLYCANS%REACTOME DATABASE ID RELEASE 95%3000178	Details ...	48	0.74842376	2.284762	0.0	0.0	0.0	1711	tags=52%, list=11%, signal=59%	
