HGNC symbol,logFC,AveExpr,P.Value,adj.P.Val
LDLRAD4,1.2950286049885626,5.336294448386313,1.7433607517441035e-31,2.618353513044469e-27
NECAB1,-3.453362579837528,0.9655069861988658,2.762368118243706e-29,2.074400338395111e-25
LTBP1,1.690025427279691,7.753608759368342,3.765045320285733e-27,1.884907188845714e-23
TMEM97,-1.6692452929826054,3.7627400816433623,6.396246798473368e-27,2.401630766656788e-23
CFH,1.825358932288049,8.729777915260446,2.5641832895583295e-26,7.702293765175309e-23
ACSS2,-1.2064570016592278,6.137580862195611,2.5942906156335123e-25,6.493941792699951e-22
HHIP,-2.865188682102184,3.734910080408733,3.2605026647281516e-25,6.99564136022173e-22
TRIB3,-1.5432880454221998,3.415011812937796,5.6352235954393495e-25,1.0579427897487947e-21
NRGN,-1.5824239494506145,4.354368645699167,1.0099176018743959e-24,1.6853280513946167e-21
ACAT2,-1.1685160471578842,4.556868067652588,9.199421272474884e-24,1.3816610809130028e-20
BRI3,-0.909230919788862,6.539587590961357,1.1255905056212386e-23,1.5368403458113983e-20
RGS1,2.3293259943228524,7.014102064454985,4.4072633469671486e-23,5.516057350674967e-20
PTGFRN,1.713867496985035,6.220402494842787,1.21549952827843e-22,1.4042759550164417e-19
COL15A1,2.499851462555915,7.0508284587333945,2.1938737790352295e-22,2.3535564490950077e-19
SCN1A,-2.8996246408789834,1.9117445178029135,4.267478245971125e-22,4.2728837184160207e-19
IGFBP2,1.6597431043022226,6.303194044265422,1.218985921729761e-21,1.0875562204463339e-18
COL14A1,2.6246555897914146,8.161593614070025,1.2310044442098459e-21,1.0875562204463339e-18
ENTPD1,1.2304730032314044,6.956604416469799,1.7323086154032856e-21,1.4454190608189972e-18
CEBPA,-1.544885545761674,4.653205220878488,1.8976113071846416e-21,1.5000118011897963e-18
HR,2.374596001464279,2.893227530289409,7.141187688611151e-21,5.3626748947625416e-18
PDLIM3,1.625290908788581,6.671944018562564,1.3706216167130152e-20,9.802555267339415e-18
LINC03040,-3.148861487262976,1.6559159049007064,1.5581453776623004e-20,1.063717519414095e-17
RGS5,1.8105200054870911,8.507081875279003,2.6706187096332022e-20,1.671250933332544e-17
PSD3,1.1445175387846147,5.310610876474954,3.0670447469869804e-20,1.8425578021998983e-17
TRIM71,-2.1348588581816297,0.33737631072586094,2.4378979729305364e-20,1.5919473763236403e-17
LSS,-0.958964384037226,6.285508861026895,9.194531100780778e-20,5.1145430593565366e-17
NUPR1,-1.1353664907342456,6.5042340061738955,1.1954356043193528e-19,6.412231193311557e-17
VSIG10,-1.2668522598019836,4.753408069852798,1.2858438746484418e-19,6.659341087360327e-17
KCTD14,-1.5218547222541787,2.4392516152452206,1.8310156690978881e-19,9.166674778060394e-17
FHL2,2.036545370654466,4.96821611878415,2.0794126291050714e-19,1.0074418798880343e-16
SSC5D,2.1490420497720653,5.527575900218738,2.3763322239846016e-19,1.115316677250773e-16
ASPN,2.9522952563836724,5.92038425036507,2.481053004259304e-19,1.1291798506354692e-16
ROBO1,1.1786040515507308,6.116416086071239,2.7182977305926938e-19,1.2007680475226963e-16
ZNF385B,-2.173781561996955,3.8707676151388464,3.624065335798354e-19,1.511939924398763e-16
MAP3K21,-1.2745605319984872,2.3772879220542125,3.2638725633457697e-19,1.4005743436825748e-16
FZD5,-1.551946568028948,4.153268411832995,3.838628064125932e-19,1.5365042402534156e-16
ACTMAP,-0.9820602710848024,3.963717113827676,3.9401744383386136e-19,1.5365042402534156e-16
ELOA,-0.5150389317648019,6.177280440208344,3.9898572055318744e-19,1.5365042402534156e-16
CRTAC1,-2.677516772986461,4.051776836473688,4.357206120388286e-19,1.6360219680527918e-16
SYTL2,1.2349823960510706,5.864611467896063,4.671293287682025e-19,1.7111744850657643e-16
MID1IP1,-1.0344738825325468,5.671860613267561,6.164790971287231e-19,2.2044998951848321e-16
HSD17B6,-2.2247693488487656,3.6442817598261272,7.083620205410941e-19,2.417929360569703e-16
CSF2,-3.177172051773585,-1.4030938698367064,6.015839498002603e-20,3.475072823865427e-17
USP44,-1.7621760023935302,1.9469880172865872,6.514139088933209e-19,2.275252441318323e-16
FHDC1,-1.4750537432170727,4.310318886545192,9.359347654172862e-19,3.032214447010585e-16
POLR2C,-0.4912415019652645,5.999572963211127,9.488919302849555e-19,3.032214447010585e-16
EDA2R,1.7464884346098406,2.853614555931325,7.783886583535211e-19,2.597915391069229e-16
PDP2,-0.9709976704309518,3.542930006737494,1.1896740684540536e-18,3.722440590439881e-16
SULF1,2.1801065371699435,6.565175484615617,1.2273734074989672e-18,3.7620247361687733e-16
STX3,-0.8433744689434972,6.035645851928701,1.6617532151052178e-18,4.991574307533053e-16
COL18A1,1.2498553890129385,8.378392249192263,2.028359839477542e-18,5.973320868453569e-16
TNFRSF21,0.9725564243576476,6.165973371441087,2.5667172912878847e-18,7.413370576510145e-16
TRAF5,0.9984468629369836,5.266353452019496,2.9332957176891134e-18,8.158364515550519e-16
HPCAL1,-1.2951447425861495,5.994769000222164,2.92422425422654e-18,8.158364515550519e-16
B3GNT8,-1.4461240428882851,2.722523979859177,3.0212748434968656e-18,8.250277613541715e-16
N4BP1,-0.5693689828789168,6.1664990454342785,3.395080240764169e-18,8.945738620357378e-16
TGFB3,1.7927945584590512,5.687037063312991,5.5738749049994225e-18,1.4188818169184129e-15
BRSK1,1.581332887889677,2.0716753307204536,3.214388898477631e-18,8.620876226113491e-16
BCAT2,-0.8182566898711148,4.669340303671687,6.2814921857425365e-18,1.5723621856277861e-15
DPYSL3,0.9678978008528922,8.322237766559832,6.630297665937762e-18,1.632466240077365e-15
PCK2,-0.930545939058093,4.754899634881302,6.7729885507784945e-18,1.6407018555506812e-15
FOXL1,1.9880473450201397,2.4564418315647907,5.209378681915542e-18,1.3489596279946468e-15
RIMKLA,-1.9700556162886464,2.2167962391918783,8.364788985843945e-18,1.994139139339527e-15
VEPH1,-2.2990122491223395,4.366171835659569,9.410328188058411e-18,2.2083393602570204e-15
MCCC1,-0.9531217815515296,5.1764828099328994,1.0376433502744607e-17,2.3975946888880192e-15
WBP2,-0.4699374275463857,6.854189444933778,1.1004721811985075e-17,2.5042411650636954e-15
MPST,-0.8601648980620169,5.179197683986959,1.17382848877445e-17,2.631302995955741e-15
CTSK,1.7551825965345191,6.526578776711751,1.68477461843975e-17,3.721122057992148e-15
